title,event_url,created_at_utc,updated_at_utc,forecast_method,forecast_source_name,forecast_source_url,forecast_text,forecast_target_raw,forecast_target_unit,forecast_target_market_unit,market_unit,latitude,longitude,timezone_name,picked_outcome_label,entry_yes_midpoint,entry_yes_bid,entry_yes_ask,latest_yes_midpoint,latest_yes_bid,latest_yes_ask,latest_spread,best_mid_seen,best_mid_seen_at_utc,best_exit_bid_seen,best_exit_bid_seen_at_utc,gross_pnl_if_exit_now,gross_pnl_at_best_exit
Highest temperature in Chicago on April 18?,https://polymarket.com/event/highest-temperature-in-chicago-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=41.85003&longitude=-87.65005&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Chicago on 2026-04-18,62.6,F,63.0,F,41.85003,-87.65005,America/Chicago,Will the highest temperature in Chicago be 53°F or below on April 18?,,,,,,,,,,,,,
Highest temperature in Ankara on April 18?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=39.91987&longitude=32.85427&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Ankara on 2026-04-18,15.3,C,15.0,C,39.91987,32.85427,Europe/Istanbul,Will the highest temperature in Ankara be 12°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Lucknow on April 18?,https://polymarket.com/event/highest-temperature-in-lucknow-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=26.83928&longitude=80.92313&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Lucknow on 2026-04-18,41.4,C,41.0,C,26.83928,80.92313,Asia/Kolkata,Will the highest temperature in Lucknow be 39°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Munich on April 18?,https://polymarket.com/event/highest-temperature-in-munich-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=48.13743&longitude=11.57549&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Munich on 2026-04-18,21.2,C,21.0,C,48.13743,11.57549,Europe/Berlin,Will the highest temperature in Munich be 14°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Tel Aviv on April 18?,https://polymarket.com/event/highest-temperature-in-tel-aviv-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=32.08088&longitude=34.78057&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Tel Aviv on 2026-04-18,25.5,C,26.0,C,32.08088,34.78057,Asia/Jerusalem,Will the highest temperature in Tel Aviv be 18°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Hong Kong on April 18?,https://polymarket.com/event/highest-temperature-in-hong-kong-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=22.27832&longitude=114.17469&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Hong Kong on 2026-04-18,27.2,C,27.0,C,22.27832,114.17469,Asia/Hong_Kong,Will the highest temperature in Hong Kong be 21°C or below on April 18?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Milan on April 18?,https://polymarket.com/event/highest-temperature-in-milan-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=45.46427&longitude=9.18951&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Milan on 2026-04-18,25.2,C,25.0,C,45.46427,9.18951,Europe/Rome,Will the highest temperature in Milan be 18°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Madrid on April 18?,https://polymarket.com/event/highest-temperature-in-madrid-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=40.4165&longitude=-3.70256&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Madrid on 2026-04-18,27.0,C,27.0,C,40.4165,-3.70256,Europe/Madrid,Will the highest temperature in Madrid be 22°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Warsaw on April 18?,https://polymarket.com/event/highest-temperature-in-warsaw-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=52.22977&longitude=21.01178&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Warsaw on 2026-04-18,17.5,C,18.0,C,52.22977,21.01178,Europe/Warsaw,Will the highest temperature in Warsaw be 10°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Austin on April 18?,https://polymarket.com/event/highest-temperature-in-austin-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=30.26715&longitude=-97.74306&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Austin on 2026-04-18,74.6,F,75.0,F,30.26715,-97.74306,America/Chicago,Will the highest temperature in Austin be 69°F or below on April 18?,,,,,,,,,,,,,
