title,event_url,created_at_utc,updated_at_utc,forecast_method,forecast_source_name,forecast_source_url,forecast_text,forecast_target_raw,forecast_target_unit,forecast_target_market_unit,market_unit,latitude,longitude,timezone_name,picked_outcome_label,entry_yes_midpoint,entry_yes_bid,entry_yes_ask,latest_yes_midpoint,latest_yes_bid,latest_yes_ask,latest_spread,best_mid_seen,best_mid_seen_at_utc,best_exit_bid_seen,best_exit_bid_seen_at_utc,gross_pnl_if_exit_now,gross_pnl_at_best_exit
Highest temperature in NYC on April 19?,https://polymarket.com/event/highest-temperature-in-nyc-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=40.71427&longitude=-74.00597&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for NYC on 2026-04-19,50.7,F,51.0,F,40.71427,-74.00597,America/New_York,Will the highest temperature in New York City be 47°F or below on April 19?,0.0045,0.004,0.005,0.0045,0.004,0.005,0.001,0.0045,2026-04-18T21:06:37+00:00,0.004,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Dallas on April 19?,https://polymarket.com/event/highest-temperature-in-dallas-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=32.78306&longitude=-96.80667&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Dallas on 2026-04-19,71.0,F,71.0,F,32.78306,-96.80667,America/Chicago,Will the highest temperature in Dallas be 71°F or below on April 19?,0.42,0.41,0.43,0.42,0.41,0.43,0.020000000000000018,0.42,2026-04-18T21:06:37+00:00,0.41,2026-04-18T21:06:37+00:00,-0.020000000000000018,-0.020000000000000018
Highest temperature in Atlanta on April 19?,https://polymarket.com/event/highest-temperature-in-atlanta-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=33.749&longitude=-84.38798&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Atlanta on 2026-04-19,70.4,F,70.0,F,33.749,-84.38798,America/New_York,Will the highest temperature in Atlanta be 55°F or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Miami on April 19?,https://polymarket.com/event/highest-temperature-in-miami-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=25.77427&longitude=-80.19366&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Miami on 2026-04-19,81.5,F,82.0,F,25.77427,-80.19366,America/New_York,Will the highest temperature in Miami be 75°F or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Chicago on April 19?,https://polymarket.com/event/highest-temperature-in-chicago-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=41.85003&longitude=-87.65005&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Chicago on 2026-04-19,46.4,F,46.0,F,41.85003,-87.65005,America/Chicago,Will the highest temperature in Chicago be 43°F or below on April 19?,0.0125,0.012,0.013,0.0125,0.012,0.013,0.0009999999999999992,0.0125,2026-04-18T21:06:37+00:00,0.012,2026-04-18T21:06:37+00:00,-0.0009999999999999992,-0.0009999999999999992
Highest temperature in Ankara on April 19?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=39.91987&longitude=32.85427&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Ankara on 2026-04-19,12.8,C,13.0,C,39.91987,32.85427,Europe/Istanbul,Will the highest temperature in Ankara be 10°C on April 19?,0.0565,0.048,0.065,0.0565,0.048,0.065,0.017,0.0565,2026-04-18T21:06:37+00:00,0.048,2026-04-18T21:06:37+00:00,-0.017,-0.017
Highest temperature in Wellington on April 19?,https://polymarket.com/event/highest-temperature-in-wellington-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=-41.28664&longitude=174.77557&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Wellington on 2026-04-19,16.8,C,17.0,C,-41.28664,174.77557,Pacific/Auckland,Will the highest temperature in Wellington be 11°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Lucknow on April 19?,https://polymarket.com/event/highest-temperature-in-lucknow-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=26.83928&longitude=80.92313&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Lucknow on 2026-04-19,41.6,C,42.0,C,26.83928,80.92313,Asia/Kolkata,Will the highest temperature in Lucknow be 40°C or below on April 19?,0.0075,0.006,0.009,0.0075,0.006,0.009,0.002999999999999999,0.0075,2026-04-18T21:06:37+00:00,0.006,2026-04-18T21:06:37+00:00,-0.002999999999999999,-0.002999999999999999
Highest temperature in Munich on April 19?,https://polymarket.com/event/highest-temperature-in-munich-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=48.13743&longitude=11.57549&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Munich on 2026-04-19,17.5,C,18.0,C,48.13743,11.57549,Europe/Berlin,Will the highest temperature in Munich be 10°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Tel Aviv on April 19?,https://polymarket.com/event/highest-temperature-in-tel-aviv-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=32.08088&longitude=34.78057&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Tel Aviv on 2026-04-19,22.0,C,22.0,C,32.08088,34.78057,Asia/Jerusalem,Will the highest temperature in Tel Aviv be 16°C or below on April 19?,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Tokyo on April 19?,https://polymarket.com/event/highest-temperature-in-tokyo-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=35.6895&longitude=139.69171&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Tokyo on 2026-04-19,23.1,C,23.0,C,35.6895,139.69171,Asia/Tokyo,Will the highest temperature in Tokyo be 16°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Hong Kong on April 19?,https://polymarket.com/event/highest-temperature-in-hong-kong-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=22.27832&longitude=114.17469&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Hong Kong on 2026-04-19,28.2,C,28.0,C,22.27832,114.17469,Asia/Hong_Kong,Will the highest temperature in Hong Kong be 21°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Shanghai on April 19?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=31.22222&longitude=121.45806&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Shanghai on 2026-04-19,23.8,C,24.0,C,31.22222,121.45806,Asia/Shanghai,Will the highest temperature in Shanghai be 17°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Singapore on April 19?,https://polymarket.com/event/highest-temperature-in-singapore-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=1.28967&longitude=103.85007&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Singapore on 2026-04-19,32.2,C,32.0,C,1.28967,103.85007,Asia/Singapore,Will the highest temperature in Singapore be 25°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Milan on April 19?,https://polymarket.com/event/highest-temperature-in-milan-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=45.46427&longitude=9.18951&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Milan on 2026-04-19,24.9,C,25.0,C,45.46427,9.18951,Europe/Rome,Will the highest temperature in Milan be 17°C or below on April 19?,0.0015,0.0,0.001,0.0015,0.0,0.001,0.001,0.0015,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Madrid on April 19?,https://polymarket.com/event/highest-temperature-in-madrid-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=40.4165&longitude=-3.70256&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Madrid on 2026-04-19,27.7,C,28.0,C,40.4165,-3.70256,Europe/Madrid,Will the highest temperature in Madrid be 21°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Warsaw on April 19?,https://polymarket.com/event/highest-temperature-in-warsaw-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=52.22977&longitude=21.01178&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Warsaw on 2026-04-19,17.8,C,18.0,C,52.22977,21.01178,Europe/Warsaw,Will the highest temperature in Warsaw be 11°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Taipei on April 19?,https://polymarket.com/event/highest-temperature-in-taipei-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=25.05306&longitude=121.52639&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Taipei on 2026-04-19,28.5,C,29.0,C,25.05306,121.52639,Asia/Taipei,Will the highest temperature in Taipei be 23°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Chongqing on April 19?,https://polymarket.com/event/highest-temperature-in-chongqing-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=29.56026&longitude=106.55771&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Chongqing on 2026-04-19,30.3,C,30.0,C,29.56026,106.55771,Asia/Shanghai,Will the highest temperature in Chongqing be 21°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Beijing on April 19?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=39.9075&longitude=116.39723&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Beijing on 2026-04-19,22.6,C,23.0,C,39.9075,116.39723,Asia/Shanghai,Will the highest temperature in Beijing be 19°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Wuhan on April 19?,https://polymarket.com/event/highest-temperature-in-wuhan-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=30.58333&longitude=114.26667&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Wuhan on 2026-04-19,29.6,C,30.0,C,30.58333,114.26667,Asia/Shanghai,Will the highest temperature in Wuhan be 25°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Chengdu on April 19?,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=30.66667&longitude=104.06667&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Chengdu on 2026-04-19,25.2,C,25.0,C,30.66667,104.06667,Asia/Shanghai,Will the highest temperature in Chengdu be 22°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Shenzhen on April 19?,https://polymarket.com/event/highest-temperature-in-shenzhen-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=22.54554&longitude=114.0683&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Shenzhen on 2026-04-19,30.2,C,30.0,C,22.54554,114.0683,Asia/Shanghai,Will the highest temperature in Shenzhen be 22°C or below on April 19?,,,,,,,,,,,,,
Highest temperature in Austin on April 19?,https://polymarket.com/event/highest-temperature-in-austin-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=30.26715&longitude=-97.74306&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Austin on 2026-04-19,74.5,F,75.0,F,30.26715,-97.74306,America/Chicago,Will the highest temperature in Austin be 69°F or below on April 19?,0.0415,0.033,0.05,0.0415,0.033,0.05,0.017,0.0415,2026-04-18T21:06:37+00:00,0.033,2026-04-18T21:06:37+00:00,-0.017,-0.017
Highest temperature in Denver on April 19?,https://polymarket.com/event/highest-temperature-in-denver-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=39.73915&longitude=-104.9847&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Denver on 2026-04-19,71.8,F,72.0,F,39.73915,-104.9847,America/Denver,Will the highest temperature in Denver be 57°F or below on April 19?,0.0035,0.003,0.004,0.0035,0.003,0.004,0.001,0.0035,2026-04-18T21:06:37+00:00,0.003,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Houston on April 19?,https://polymarket.com/event/highest-temperature-in-houston-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=29.76328&longitude=-95.36327&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Houston on 2026-04-19,66.1,F,66.0,F,29.76328,-95.36327,America/Chicago,Will the highest temperature in Houston be 65°F or below on April 19?,0.0165,0.013,0.02,0.0165,0.013,0.02,0.007000000000000001,0.0165,2026-04-18T21:06:37+00:00,0.013,2026-04-18T21:06:37+00:00,-0.007000000000000001,-0.007000000000000001
Highest temperature in Los Angeles on April 19?,https://polymarket.com/event/highest-temperature-in-los-angeles-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=34.05223&longitude=-118.24368&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Los Angeles on 2026-04-19,76.6,F,77.0,F,34.05223,-118.24368,America/Los_Angeles,Will the highest temperature in Los Angeles be 55°F or below on April 19?,0.0015,0.0,0.003,0.0015,0.0,0.003,0.003,0.0015,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.003,-0.003
Highest temperature in San Francisco on April 19?,https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=37.77493&longitude=-122.41942&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for San Francisco on 2026-04-19,60.6,F,61.0,F,37.77493,-122.41942,America/Los_Angeles,Will the highest temperature in San Francisco be 51°F or below on April 19?,0.0025,0.0,0.003,0.0025,0.0,0.003,0.003,0.0025,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.003,-0.003
Highest temperature in Moscow on April 19?,https://polymarket.com/event/highest-temperature-in-moscow-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=55.75222&longitude=37.61556&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Moscow on 2026-04-19,5.0,C,5.0,C,55.75222,37.61556,Europe/Moscow,Will the highest temperature in Moscow be -1°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Istanbul on April 19?,https://polymarket.com/event/highest-temperature-in-istanbul-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=41.01384&longitude=28.94966&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Istanbul on 2026-04-19,16.0,C,16.0,C,41.01384,28.94966,Europe/Istanbul,Will the highest temperature in Istanbul be 10°C on April 19?,0.0025,0.002,0.003,0.0025,0.002,0.003,0.001,0.0025,2026-04-18T21:06:37+00:00,0.002,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Mexico City on April 19?,https://polymarket.com/event/highest-temperature-in-mexico-city-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=19.42847&longitude=-99.12766&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Mexico City on 2026-04-19,25.1,C,25.0,C,19.42847,-99.12766,America/Mexico_City,Will the highest temperature in Mexico City be 18°C or below on April 19?,0.0015,0.0,0.001,0.0015,0.0,0.001,0.001,0.0015,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Busan on April 19?,https://polymarket.com/event/highest-temperature-in-busan-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=35.10168&longitude=129.03004&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Busan on 2026-04-19,19.8,C,20.0,C,35.10168,129.03004,Asia/Seoul,Will the highest temperature in Busan be 17°C or below on April 19?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Amsterdam on April 19?,https://polymarket.com/event/highest-temperature-in-amsterdam-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=52.37403&longitude=4.88969&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Amsterdam on 2026-04-19,14.2,C,14.0,C,52.37403,4.88969,Europe/Amsterdam,Will the highest temperature in Amsterdam be 10°C on April 19?,0.0065,0.003,0.01,0.0065,0.003,0.01,0.007,0.0065,2026-04-18T21:06:37+00:00,0.003,2026-04-18T21:06:37+00:00,-0.007,-0.007
Highest temperature in Helsinki on April 19?,https://polymarket.com/event/highest-temperature-in-helsinki-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=60.16952&longitude=24.93545&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Helsinki on 2026-04-19,8.9,C,9.0,C,60.16952,24.93545,Europe/Helsinki,Will the highest temperature in Helsinki be 10°C on April 19?,0.45,0.44,0.46,0.45,0.44,0.46,0.020000000000000018,0.45,2026-04-18T21:06:37+00:00,0.44,2026-04-18T21:06:37+00:00,-0.020000000000000018,-0.020000000000000018
Highest temperature in Panama City on April 19?,https://polymarket.com/event/highest-temperature-in-panama-city-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=8.9936&longitude=-79.51973&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Panama City on 2026-04-19,34.3,C,34.0,C,8.9936,-79.51973,America/Panama,Will the highest temperature in Panama City be 21°C or below on April 19?,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
